name,location,cuisine_type,seating_capacity
The Hungry Hippo,New York,Italian,80
Sushi Central,Tokyo,Japanese,60
Taco Fiesta,Mexico City,Mexican,120
Le Gourmet,Paris,French,70
Spice Symphony,Mumbai,Indian,90
Dragon's Den,Beijing,Chinese,110
The Great Burger,Los Angeles,American,100
Cafe Bonjour,Montreal,French,50
Bella Pasta,Rome,Italian,130
Curry House,Delhi,Indian,60
Golden Dragon,Hong Kong,Chinese,140
El Toro Loco,Madrid,Mexican,75
Maple Diner,Toronto,Canadian,85
Pasta Palace,Naples,Italian,95
Saffron Lounge,Dubai,Middle Eastern,120
Wiener Schnitzel,Berlin,German,55
Fish & Chips,London,British,65
Sushi Haven,Osaka,Japanese,70
Tapas Time,Barcelona,Spanish,110
The Big Steakhouse,Dallas,American,150
The Vegan Table,Portland,Vegan,80
Bavarian Bierhaus,Munich,German,90
Pho Paradise,Hanoi,Vietnamese,60
Dim Sum Delight,Shanghai,Chinese,70
Crepe Corner,Paris,French,50
Pizza Pros,Rome,Italian,140
Barbecue Barn,Austin,American,100
Noodle Nook,Tokyo,Japanese,80
The Gourmet Grill,Chicago,American,130
Paella Palace,Valencia,Spanish,75
The Pita Pit,Jerusalem,Mediterranean,85
Curry Corner,Bangalore,Indian,90
Dragon's Breath,Bangkok,Thai,110
The Sizzling Sausage,Frankfurt,German,60
Shawarma Shack,Cairo,Mediterranean,95
Burger Bonanza,San Francisco,American,100
Taco Time,Mexico City,Mexican,80
Goulash Galore,Budapest,Hungarian,85
Pizza Planet,Naples,Italian,150
Sushi Sensation,Kyoto,Japanese,70
The Rustic Kitchen,Sydney,Australian,60
Le Petit Bistro,Marseille,French,55
Seafood Shack,Miami,Seafood,120
Dim Sum Dynasty,Hong Kong,Chinese,65
The Curry Leaf,Colombo,Sri Lankan,95
Fajita Fiesta,Mexico City,Mexican,110
Pasta Party,Florence,Italian,140
Bento Box,Tokyo,Japanese,90
The Burger Joint,New York,American,100
Saffron Spice,Tehran,Middle Eastern,75
Bratwurst Bonanza,Vienna,German,60
Noodle Nirvana,Seoul,Korean,85
Tandoori Treats,Lahore,Indian,70
The Fish Fry,Lisbon,Portuguese,50
Sushi Supreme,Sapporo,Japanese,120
The Tapas Tree,Madrid,Spanish,95
The Spaghetti House,Rome,Italian,110
Dragon's Delight,Beijing,Chinese,140
Burger Bistro,London,American,100
The Vegan Bistro,San Francisco,Vegan,80
Sausage Shack,Zurich,German,90
Pho Palace,Ho Chi Minh City,Vietnamese,60
Dim Sum Delight,Guangzhou,Chinese,70
Cafe de Paris,Paris,French,50
Pasta Pavilion,Rome,Italian,140
Steakhouse Supreme,Dallas,American,100
Noodle Nest,Taipei,Taiwanese,80
Tapas Treat,Seville,Spanish,130
The Curry Club,Mumbai,Indian,75
Sushi Spot,Tokyo,Japanese,85
Burger Barn,Austin,American,90
Taco Tavern,Mexico City,Mexican,110
Gourmet Galley,Sydney,Australian,60
Le Bistro,Bordeaux,French,95
Seafood Station,Boston,Seafood,100
Dim Sum Central,Shanghai,Chinese,80
Curry Cabin,Delhi,Indian,85
Fajita Frenzy,Guadalajara,Mexican,150
Pizza Pavilion,Naples,Italian,70
Bento Bistro,Osaka,Japanese,60
The Burger Barn,Los Angeles,American,55
Saffron Sizzle,Doha,Middle Eastern,120
Bratwurst Bistro,Berlin,German,65
Noodle Nest,Hong Kong,Chinese,95
Tandoori Taverna,Karachi,Indian,110
Fish Feast,Lisbon,Portuguese,140
Sushi Studio,Tokyo,Japanese,100
The Tapas Tavern,Barcelona,Spanish,80
Spaghetti Stop,Venice,Italian,90
Dragon's Diner,Shanghai,Chinese,60
The Vegan Venue,Portland,Vegan,70
Wurst Haus,Frankfurt,German,50
Pho Pavilion,Hanoi,Vietnamese,140
Dim Sum Spot,Hong Kong,Chinese,100
The Burger Bunker,New York,American,80
